date,temperature_high,temperature_low,weather,wind,air_quality,
2022-07-12 周二,22°,20°,中雨~阵雨,东风1级,21 优,
2022-07-13 周三,26°,19°,小雨~阵雨,东风1级,26 优,
2022-07-14 周四,28°,21°,多云~阵雨,东南风1级,32 优,
2022-07-15 周五,33°,21°,多云~阵雨,东南风2级,40 优,
2022-07-16 周六,25°,20°,中雨~阵雨,东北风1级,35 优,
2022-07-17 周日,23°,18°,多云~阵雨,东北风1级,44 优,
2022-07-18 周一,23°,17°,小雨~阵雨,东北风1级,46 优,
2022-07-19 周二,27°,15°,多云~晴,西北风1级,38 优,
2022-07-20 周三,31°,18°,多云~阵雨,南风2级,35 优,
2022-07-21 周四,27°,15°,多云~中雨,东南风2级,42 优,
2022-07-22 周五,29°,16°,多云~晴,西风2级,33 优,
2022-07-23 周六,31°,18°,晴~多云,西南风2级,33 优,
2022-07-24 周日,27°,19°,多云~阴,西南风2级,32 优,
2022-07-25 周一,32°,18°,多云,西南风2级,33 优,
2022-07-26 周二,33°,19°,多云~阵雨,西南风2级,33 优,
2022-07-27 周三,24°,18°,小雨~晴,西北风2级,36 优,
2022-07-28 周四,31°,18°,多云~阴,西南风2级,40 优,
2022-07-29 周五,29°,17°,多云~阴,西南风2级,38 优,
2022-07-30 周六,31°,18°,多云~阵雨,东南风2级,38 优,
2022-07-31 周日,32°,18°,多云~阵雨,东南风2级,45 优,
2022-06-01 周三,30°,16°,多云,东南风2级,36 优,
2022-06-02 周四,27°,17°,多云~阵雨,东南风1级,33 优,
2022-06-03 周五,26°,16°,多云~阵雨,东风1级,29 优,
2022-06-04 周六,22°,13°,小雨~阵雨,东北风1级,28 优,
2022-06-05 周日,25°,14°,多云,东南风1级,44 优,
2022-06-06 周一,27°,14°,多云,东北风1级,44 优,
2022-06-07 周二,27°,15°,多云~阵雨,西北风1级,41 优,
2022-06-08 周三,26°,15°,多云~阵雨,东南风1级,37 优,
2022-06-09 周四,21°,15°,小雨~多云,东北风1级,37 优,
2022-06-10 周五,24°,14°,多云,东南风1级,30 优,
2022-06-11 周六,18°,16°,阴~阵雨,东风1级,34 优,
2022-06-12 周日,25°,14°,多云~阵雨,东北风1级,36 优,
2022-06-13 周一,25°,13°,阵雨~晴,东北风1级,46 优,
2022-06-14 周二,31°,14°,多云~阴,东南风2级,39 优,
2022-06-15 周三,31°,15°,多云~阴,东南风2级,40 优,
2022-06-16 周四,30°,15°,多云~阴,东南风2级,43 优,
2022-06-17 周五,30°,16°,多云~阴,东南风2级,39 优,
2022-06-18 周六,27°,17°,多云,东南风1级,33 优,
2022-06-19 周日,31°,18°,多云~阵雨,东南风2级,29 优,
2022-06-20 周一,29°,20°,多云~阵雨,东南风1级,28 优,
2022-06-21 周二,29°,20°,多云~阵雨,东南风1级,27 优,
