date,tourism_num
2016-04-10,11983
2016-04-09,13081
2016-04-08,9467
2016-04-07,7976
2016-04-06,6381
2016-04-05,6080
2016-04-04,6943
2016-04-03,21197
2016-04-02,9287
2016-04-01,5985
2016-03-31,23511
2016-03-30,27831
2016-03-29,24868
2016-03-28,16796
2016-03-27,21265
2016-03-26,30888
2016-03-25,16882
2016-03-24,14088
2016-03-23,19559
2016-03-22,16548
2016-03-21,9344
2016-03-20,13131
2016-03-19,27129
2016-03-18,14056
2016-03-17,14542
2016-03-16,16695
2016-03-15,12567
2016-03-14,7959
2016-03-13,12272
2016-03-12,23326
2016-03-11,12189
2016-03-10,10215
2016-03-09,14818
2016-03-08,11901
2016-03-07,6511
2016-03-06,7793
2016-03-05,13269
2016-03-04,5955
2016-03-03,4839
2016-03-02,4412
2016-03-01,3188
2016-02-29,2375
2016-02-28,2987
2016-02-27,4609
2016-02-26,2923
2016-02-25,2758
2016-02-24,2466
2016-02-23,2090
2016-02-22,2119
2016-02-21,3067
2016-02-20,5795
2016-02-19,4924
2016-02-18,6112
2016-02-17,6333
2016-02-16,6425
2016-02-15,6763
2016-02-14,7762
2016-02-13,10215
2016-02-12,14325
2016-02-11,18675
2016-02-10,17153
2016-02-09,11577
2016-02-08,3565
2016-02-07,2033
2016-02-06,1668
2016-02-05,2071
2016-02-04,2320
2016-02-03,1944
2016-02-02,2305
2016-02-01,1982
2016-01-31,2126
2016-01-30,3365
2016-01-29,2437
2016-01-28,2523
2016-01-27,2256
2016-01-26,2592
2016-01-25,2343
2016-01-24,2330
2016-01-23,3699
2016-01-22,2274
2016-01-21,2215
2016-01-20,1926
2016-01-19,2143
2016-01-18,1957
2016-01-17,2444
2016-01-16,3567
2016-01-15,2303
2016-01-14,2012
2016-01-13,1896
2016-01-12,1988
2016-01-11,1931
2016-01-10,1932
2016-01-09,3131
2016-01-08,2349
2016-01-07,2072
2016-01-06,3461
2016-01-05,1739
2016-01-04,1587
2016-01-03,2101
2016-01-02,10752
2016-01-01,3710
2015-12-31,2826
2015-12-30,2503
2015-12-29,2366
2015-12-28,2588
2015-12-27,2844
2015-12-26,4233
2015-12-25,2838
2015-12-24,2690
2015-12-23,2106
2015-12-22,2184
2015-12-21,2138
2015-12-20,2207
2015-12-19,4318
2015-12-18,2420
2015-12-17,2628
2015-12-16,2363
2015-12-15,2749
2015-12-14,2400
2015-12-13,2725
2015-12-12,4689
2015-12-11,2595
2015-12-10,2777
2015-12-09,3381
2015-12-08,2526
2015-12-07,2705
2015-12-06,3332
2015-12-05,5283
2015-12-04,3356
2015-12-03,3416
2015-12-02,3433
2015-12-01,3422
2015-11-30,3053
2015-11-29,4127
2015-11-28,7762
2015-11-27,4502
2015-11-26,5083
2015-11-25,5426
2015-11-24,5850
2015-11-23,5056
2015-11-22,6816
2015-11-21,12243
2015-11-20,7660
2015-11-19,8517
2015-11-18,8312
2015-11-17,11211
2015-11-16,11235
2015-11-15,3929
2015-11-14,5996
2015-11-13,6204
2015-11-12,5794
2015-11-11,6451
2015-11-10,7544
2015-11-09,7679
2015-11-08,8519
2015-11-07,12062
2015-11-06,11311
2015-11-05,11175
2015-11-04,11802
2015-11-03,13523
2015-11-02,11243
2015-11-01,11975
2015-10-31,16881
2015-10-30,15876
2015-10-29,16256
2015-10-28,17358
2015-10-27,20113
2015-10-26,17054
2015-10-25,20506
2015-10-24,25109
2015-10-23,25506
2015-10-22,23432
2015-10-21,25930
2015-10-20,26102
2015-10-19,25115
2015-10-18,24186
2015-10-17,28686
2015-10-16,32983
2015-10-15,24294
2015-10-14,30207
2015-10-13,26860
2015-10-12,24370
2015-10-11,21975
2015-10-10,20317
2015-10-09,15433
2015-10-08,15192
2015-10-07,15293
2015-10-06,18161
2015-10-05,28283
2015-10-04,37188
2015-10-03,41030
2015-10-02,33333
2015-10-01,15867
2015-09-30,18278
2015-09-29,22947
2015-09-28,18630
2015-09-27,14933
2015-09-26,14142
2015-09-25,18204
2015-09-24,18482
2015-09-23,17546
2015-09-22,19890
2015-09-21,19546
2015-09-20,19404
2015-09-19,21927
2015-09-18,23182
2015-09-17,20101
2015-09-16,21561
2015-09-15,20068
2015-09-14,20696
2015-09-13,18690
2015-09-12,19178
2015-09-11,18525
2015-09-10,18165
2015-09-09,19205
2015-09-08,16451
2015-09-07,16095
2015-09-06,18701
2015-09-05,19028
2015-09-04,30758
2015-09-03,19033
2015-09-02,15915
2015-09-01,16597
2015-08-31,14799
2015-08-30,12758
2015-08-29,13944
2015-08-28,16276
2015-08-27,17618
2015-08-26,19283
2015-08-25,21379
2015-08-24,21987
2015-08-23,22270
2015-08-22,25490
2015-08-21,28775
2015-08-20,27886
2015-08-19,29265
2015-08-18,29938
2015-08-17,32672
2015-08-16,30849
2015-08-15,34313
2015-08-14,37882
2015-08-13,39213
2015-08-12,40871
2015-08-11,38175
2015-08-10,37973
2015-08-09,36247
2015-08-08,40008
2015-08-07,40984
2015-08-06,40955
2015-08-05,40868
2015-08-04,40368
2015-08-03,40969
2015-08-02,40995
2015-08-01,40213
2015-07-31,36503
2015-07-30,24096
2015-07-29,40389
2015-07-28,38397
2015-07-27,36952
2015-07-26,35042
2015-07-25,32122
2015-07-24,35777
2015-07-23,30680
2015-07-22,32237
2015-07-21,34231
2015-07-20,40589
2015-07-19,34836
2015-07-18,31700
2015-07-17,33285
2015-07-16,26922
2015-07-15,28334
2015-07-14,24966
2015-07-13,23435
2015-07-12,22301
2015-07-11,22912
2015-07-10,24463
2015-07-09,18069
2015-07-08,18633
2015-07-07,17626
2015-07-06,17652
2015-07-06,16138
2015-07-06,16405
2015-07-06,13603
2015-07-06,12859
2015-07-06,14382
2015-07-06,12509
2015-06-29,12406
2015-06-28,13797
2015-06-27,13093
2015-06-26,12262
2015-06-25,10619
2015-06-24,6956
2015-06-23,6719
2015-06-22,10218
2015-06-21,10826
2015-06-20,9819
2015-06-19,13964
2015-06-18,14258
2015-06-17,13767
2015-06-16,13791
2015-06-15,12698
2015-06-14,12999
2015-06-13,15074
2015-06-12,15115
2015-06-11,12469
2015-06-10,12657
2015-06-09,11472
2015-06-08,10904
2015-06-07,13894
2015-06-06,13317
2015-06-05,11624
2015-06-04,11049
2015-06-03,10506
2015-06-02,8904
2015-06-01,8668
2015-05-31,11942
2015-05-30,13657
2015-05-29,12357
2015-05-28,10067
2015-05-27,10368
2015-05-26,9955
2015-05-25,10064
2015-05-24,11730
2015-05-23,14828
2015-05-22,13161
2015-05-21,12643
2015-05-20,13785
2015-05-19,11784
2015-05-18,12411
2015-05-17,12397
2015-05-16,13838
2015-05-15,13703
2015-05-14,12784
2015-05-13,12399
2015-05-12,12053
2015-05-11,11058
2015-05-10,11940
2015-05-09,13324
2015-05-08,11191
2015-05-07,9252
2015-05-06,9292
2015-05-05,7927
2015-05-04,7260
2015-05-03,7972
2015-05-02,24164
2015-05-01,13262
2015-04-30,10264
2015-04-29,10874
2015-04-28,11561
2015-04-27,12010
2015-04-26,13449
2015-04-25,15960
2015-04-24,13393
2015-04-23,12262
2015-04-22,12226
2015-04-21,11793
2015-04-20,12870
2015-04-19,13104
2015-04-18,14088
2015-04-17,11815
2015-04-16,11122
2015-04-15,9897
2015-04-14,8949
2015-04-13,10072
2015-04-12,11341
2015-04-11,13952
2015-04-10,11964
2015-04-09,8542
2015-04-08,8806
2015-04-07,5990
2015-04-06,6249
2015-04-05,24109
2015-04-04,10207
2015-04-03,6532
2015-04-02,5446
2015-04-01,4592
2015-03-31,22656
2015-03-30,16912
2015-03-29,19423
2015-03-28,30484
2015-03-27,16251
2015-03-26,14819
2015-03-25,17734
2015-03-24,15345
2015-03-23,10337
2015-03-22,12619
2015-03-21,23829
2015-03-20,12459
2015-03-19,11830
2015-03-18,12801
2015-03-17,13375
2015-03-16,8799
2015-03-15,10966
2015-03-14,15304
2015-03-13,6974
2015-03-12,6368
2015-03-11,6896
2015-03-10,6672
2015-03-09,5084
2015-03-08,5084
2015-03-07,6619
2015-03-06,3411
2015-03-05,2949
2015-03-04,2770
2015-03-03,3296
2015-03-02,3904
2015-03-01,3200
2015-02-28,4432
2015-02-27,6373
2015-02-26,6691
2015-02-25,7698
2015-02-24,9638
2015-02-23,14893
2015-02-22,18169
2015-02-21,20015
2015-02-20,12251
2015-02-19,3542
2015-02-18,1852
2015-02-17,1784
2015-02-16,2391
2015-02-15,2789
2015-02-14,3537
2015-02-13,2403
2015-02-12,2306
2015-02-11,2444
2015-02-10,2394
2015-02-09,2098
2015-02-08,2613
2015-02-07,4731
2015-02-06,2525
2015-02-05,2449
2015-02-04,2444
2015-02-03,2702
2015-02-02,2364
2015-02-01,3098
2015-01-31,4286
2015-01-30,2411
2015-01-29,2156
2015-01-28,2202
